@relation SubsetSum

@attribute ArraySize numeric
@attribute Sum numeric
@attribute runtime numeric

@data
4051,82595,219334
6772,33229,10578
159,39874,939365
9430,21836,153467
2817,28798,581057
3070,61076,2315776
634,38608,1771406
5665,82279,48206
5222,52532,72754
7342,45570,10812
2343,6963,87899
5570,83544,926087
6741,60760,58977
5317,69304,31099
571,39558,80407
3925,40823,190668
381,48735,481317
3830,50000,1173379
1077,42089,639152
9430,30697,548183
6709,19621,277660
6076,40823,18464
665,46520,3726373
1773,69621,417048
128,68988,280787
6488,38925,2239534
1,94304,119
3608,54114,319974
4874,83861,841622
602,71203,529469
6804,92722,199445
1172,7912,545492
9304,3798,117172
824,96519,84200
4399,94620,688326
8133,41456,437971
9019,33545,105755
8450,48735,653249
7026,39874,217115
8987,31330,56216
539,31330,1879734
3292,71203,223355
1741,33545,192578
5127,43671,209614
634,66772,296943
3545,63292,952773
4368,42089,104454
8481,57595,118770
8450,21836,11479
729,35444,141373
7848,83544,969276
3766,25634,57848
9937,32596,530777
5570,87025,857105
6994,634,289268
6962,58861,318609
9209,8862,1812334
5697,74051,94598
6519,86076,399279
381,94937,342931
3229,6963,278724
8260,53798,291296
9114,42406,23442
8450,32912,459440
8544,61709,756566
6867,92089,49699
5950,4115,950785
8355,15824,674400
6519,18039,1762250
9146,57595,473555
2691,34178,99760
412,58545,1022830
4146,38925,1470591
7722,62342,62788
5570,68038,406523
8576,77215,634379
4684,80063,659786
2975,66772,15618
5855,52532,388217
5475,97152,1432552
634,70886,193099
697,58228,250750
7722,26583,1004724
6108,95570,129523
5855,634,1361801
2786,34494,440408
3007,73418,602268
317,73102,124205
887,35760,3051940
1298,3166,413872
2343,39874,663730
222,94304,305944
3323,93354,76693
8323,95886,408666
5602,52532,558111
9937,63924,140745
4684,62342,421742
4115,67089,290817
5981,31330,168725
6266,27849,618168
8228,32279,1038430
9051,82279,352581
1330,37659,458220
2501,17722,1453121
3070,15507,58745
855,63608,106099
9557,1267,25450
6709,49051,520933
5507,24051,625313
8291,29431,9981
9620,93671,626478
2216,26267,91962
3861,96835,104797
4747,72469,45895
9652,44937,1505029
3925,53165,16057
64,47785,55252
3387,68671,105495
8766,98734,606918
7943,16457,1044694
8355,61393,17286
4273,72469,498846
9652,56013,678473
4811,77532,25058
1298,49368,6154
8987,48418,929171
5222,77215,6363
7026,99051,965409
9557,28798,873015
6456,57595,2580059
7722,70253,1129008
8481,56330,224623
8481,79431,160396
9082,45887,1004788
8703,83861,282607
824,95886,789450
9367,35127,1420194
7785,56330,192216
919,1583,30201
887,84810,91075
6962,7912,345093
412,34178,114642
2374,4115,78007
7405,85760,504593
4273,16140,294980
6361,93354,465942
5222,72469,977586
697,99051,361739
6962,7279,57255
6772,30697,147462
4399,69937,1417378
4906,48735,161784
4399,53165,867591
4368,17406,330054
