@relation RSAEncryption

@attribute StringLength numeric
@attribute KeySizeExponent(2^x) numeric
@attribute runtime numeric

@data
27,10,170198
3,10,247344
5,9,117619
30,9,120012
19,10,276648
5,11,306848
4,9,63408
11,10,145760
12,10,134827
5,11,303382
7,11,310237
21,10,136663
7,9,73392
20,10,163362
18,10,153864
28,10,131104
20,10,183223
2,10,157422
20,10,186567
17,10,256912
29,10,179661
14,9,182623
16,10,182230
17,10,155466
20,10,212351
16,11,348919
5,10,216749
4,10,203202
22,9,153003
27,11,311271
26,9,70479
24,11,331477
18,9,106118
29,10,152419
6,10,148936
11,9,156916
21,9,103142
8,10,132208
22,10,249761
16,10,199360
5,9,125203
2,10,185343
8,11,361392
29,9,117187
16,10,226517
11,9,165187
8,9,146139
20,9,129311
1,10,165237
22,10,180018
28,10,174462
26,10,165126
21,10,252832
27,11,354291
27,11,310898
4,10,156624
23,11,520371
3,10,177112
24,9,117602
2,10,187375
1,10,240498
18,9,165109
16,9,172380
2,9,153809
2,10,153529
5,10,151131
4,9,75475
20,10,157718
26,10,154629
19,9,93218
14,11,501787
23,11,383907
6,11,310332
3,9,92171
2,10,174842
14,10,246642
22,10,237982
8,10,190476
20,10,170254
9,10,160252
1,10,134377
13,9,69360
13,10,189472
1,10,153494
26,9,85183
29,11,310373
4,10,160804
11,10,162832
0,11,342695
4,11,511970
9,11,379868
17,10,144434
12,11,344941
29,10,180467
29,9,114171
10,9,116763
5,9,93519
0,11,307624
11,11,395880
13,10,163868
1,9,88550
10,11,420481
20,11,416507
6,11,506544
17,10,274183
3,9,124980
6,10,248845
6,11,325900
13,10,157474
2,9,66054
2,10,158342
25,10,157139
23,10,153554
2,10,148217
24,9,155541
11,10,183596
7,10,183589
28,9,113756
28,10,255337
7,9,127416
25,9,107281
14,10,148787
24,10,148894
13,10,186237
14,11,511107
1,9,126141
3,11,304334
25,10,129619
21,10,133215
13,9,65571
20,11,490916
13,10,176225
24,9,157064
13,11,346034
12,11,306405
11,10,132188
24,9,70449
9,11,330459
28,10,176986
29,10,189632
18,9,114087
19,10,154258
2,10,172407
10,9,144976
20,10,208846
2,10,157531
2,10,148523
4,9,102868
28,9,192668
17,10,157302
19,10,253994
5,9,97141
21,10,144536
20,9,80676
28,10,173278
25,10,165588
5,9,111852
22,11,314787
6,10,137187
12,10,294303
20,9,81188
6,9,74745
12,9,81930
24,10,222161
26,9,106422
18,9,112054
5,10,246578
8,9,177894
28,10,507913
10,9,124593
23,10,188791
27,9,122466
28,9,120096
13,11,579903
10,10,175404
22,10,156652
18,9,278100
5,9,182113
4,9,125956
13,10,197832
7,10,241208
9,9,75283
14,10,182148
9,11,308029
8,10,249231
27,9,137297
2,10,255903
30,10,233674
19,10,269368
30,10,250876
20,11,417541
20,10,194342
16,11,315561
30,10,152752
16,10,127863
3,10,133962
17,10,254669
11,10,170864
11,9,108707
21,9,104148
3,11,310759
5,10,162334
26,10,162720
6,11,316146
4,10,151079
16,9,136811
29,9,160113
6,10,194182
3,11,333313
7,10,168463
25,9,85672
11,11,334989
25,10,287733
13,9,106154
7,10,172788
3,11,301202
4,10,154745
2,10,288311
13,11,350160
13,10,125050
27,9,98784
21,10,154294
21,9,74444
15,9,114113
1,10,151074
7,9,86296
5,9,68817
15,11,311023
10,10,159004
14,9,71929
21,10,224467
13,10,154986
20,10,150674
7,10,260300
12,9,112752
2,10,159350
16,11,300479
9,11,305819
23,11,310028
10,9,141658
21,9,132155
30,11,1073696
21,11,432414
21,9,114765
15,10,158684
15,10,157098
6,10,144755
8,10,165419
23,10,188000
18,11,508668
22,10,143315
29,11,321204
16,11,400962
13,10,131793
27,10,156775
26,10,135628
4,9,91553
5,10,148900
5,11,304836
13,9,61749
3,9,63981
11,10,127488
7,10,234549
27,10,205484
6,11,380293
0,11,310597
2,9,78627
8,10,229533
1,10,143924
10,10,169901
12,10,141502
22,10,168874
17,9,178885
30,10,178212
24,10,317375
9,9,222904
29,9,103055
8,11,704574
25,10,244382
13,10,172517
25,11,310582
2,11,308317
17,9,96618
2,10,176092
0,10,116810
17,11,310707
25,10,149183
26,10,149789
15,10,131229
22,10,134721
13,10,190987
28,11,317193
15,11,309396
3,9,65647
27,9,79886
28,10,157791
25,10,130472
21,10,125912
3,10,163425
23,11,349983
10,10,158328
13,9,74205
19,9,75469
26,9,72693
11,10,156874
5,9,66597
13,9,122309
30,10,225990
9,11,361311
26,10,351014
11,9,135623
5,9,107383
6,11,336912
