@relation SortArray

@attribute ArraySize numeric
@attribute runtime numeric

@data
2926,234271
4183,346298
7163,2187751
650,43675
9609,839694
4547,378113
2867,221580
787,53441
8565,959965
1406,94171
3280,346508
557,33164
9328,794487
7157,5997300
9508,877234
5718,463254
4944,390442
9908,858896
5588,443314
6848,550627
9492,2636517
7559,668523
97,5414
2131,165588
9526,935646
9493,906471
7123,712651
9153,4552920
6360,536924
1994,141129
4862,386491
4854,380534
3889,307840
1292,84212
5072,1267209
1186,80260
9974,871476
8001,2287686
8680,814679
9911,1058896
8944,2283861
7983,661704
7735,2929137
301,18545
3727,276013
6527,554558
8008,888322
6677,575613
3129,246094
3757,1293229
1941,143321
714,94759
3173,344405
6639,2283915
230,12059
4717,4111529
9400,1240739
2519,190025
4393,1553421
7811,3026914
2302,229721
3071,290051
3563,285187
9100,786419
7570,654447
8417,719729
1545,111018
6830,585044
6024,503957
3273,257774
5556,572002
7088,605265
8744,755315
8065,688409
1296,84614
9323,1461661
6153,5304922
8892,733320
1041,67719
6648,547362
9788,842934
831,56474
9467,857618
4269,330085
2339,170762
9695,861972
3706,294780
1003,65672
6122,4527975
6308,521713
6778,580682
805,50211
2103,183740
5954,502518
8816,730053
4419,357211
1906,138892
1215,80527
1283,88816
5950,494086
1209,84575
6415,549764
9044,2285125
7011,701275
9305,850391
5406,477584
703,45539
1620,110807
1198,80105
6767,705123
590,37575
3890,313947
8458,999583
8946,737695
2081,180405
6201,1000876
6104,519203
9779,1051804
6754,561833
2235,170228
9213,1021146
396,23296
2150,216185
1712,117866
1993,129968
2930,220425
5723,633366
9641,1506153
3163,243671
5934,481347
5726,571168
81,3421
3966,368550
6167,471322
6950,575589
3582,267280
113,4768
525,30444
4905,408876
4579,439229
4248,348175
5444,429725
2077,152487
3864,306480
4222,318525
2741,202011
7876,1412775
7451,603556
9810,1764930
8412,777904
7160,656175
3710,288949
5659,476365
456,28472
8631,738326
7899,664813
9037,763835
5853,466318
7766,1085726
599,36514
5888,574959
8206,697496
8737,751223
9550,3700280
6956,604495
1120,76251
9028,845928
1206,82639
6597,590571
9728,865286
1228,82790
6314,531068
7589,638007
8042,675984
4054,299316
681,43283
6731,567417
189,8975
2303,159220
2749,198509
7646,640586
8435,823265
5953,1298467
9764,921194
9779,931255
2234,167541
1736,130726
9305,849359
8757,793837
4127,511563
4074,325897
1932,140692
105,4675
7939,689887
2309,170984
627,39109
8396,1043080
1919,138313
6082,631642
5407,449390
8825,1021472
2162,155445
3631,1462143
8102,662626
6883,609560
5496,361365
3035,177697
4671,385293
1619,109667
4903,428909
282,17016
3069,243204
9179,988093
7645,654314
2910,907650
909,57065
7713,658340
3545,265591
9594,790382
3765,287725
8575,779621
3700,329692
9245,812075
8221,717824
1854,128818
9574,807864
9603,701863
4357,281446
1153,63358
8361,593691
5541,716943
1292,74595
9853,920898
9902,895833
4768,427111
4627,353623
2077,151046
4455,333855
1266,70620
8016,677431
6517,585469
7058,592384
6827,567921
4814,398319
9983,810403
8186,687860
7799,681759
9880,849292
2578,193580
7893,678053
8706,749501
3332,252214
3280,248507
6878,550779
7454,579232
7349,633112
2390,173916
5329,448615
6438,525182
861,55537
6116,528604
9015,741557
5785,460625
2646,189077
6814,611735
8263,741025
4285,272474
3733,234464
1311,83301
2401,140622
1778,99770
5948,388240
7161,509279
2554,181946
3734,293859
5878,464794
8321,700951
6105,484642
7481,613538
9612,812558
2411,581639
6359,541451
8286,723712
7228,675195
6752,453662
2707,160063
103,3891
830,42540
7257,484307
9195,847632
1289,80865
6028,457241
496,28546
7106,579116
2801,229023
713,42172
6937,555073
9083,815840
9934,926593
818,55886
4234,337099
4803,309458
5804,369187
1067,55477
2802,211077
2140,129592
1864,104341
224,9158
5520,359111
9026,620632
6165,407670
1367,74933
5199,334962
168,6298
2378,138712
592,28231
2902,188420
1546,90392
8071,541796
8245,560476
6038,396006
2511,149232
9798,671569
9189,632430
4598,294363
7865,532492
2359,138882
1637,92562
3264,196310
2999,182519
7571,516835
3405,221143
3603,222077
7471,501664
8334,585855
9117,677399
3862,240827
8879,609554
5058,335512
4339,312673
7332,652602
7282,496914
5168,336553
9504,658000
1536,84467
9162,724435
1788,100545
7327,501765
1822,104236
7917,534391
4613,294464
2497,159170
472,22371
2821,168502
5267,341055
5075,328541
3774,231964
531,25941
6887,446736
1814,100307
909,48292
569,28265
6866,463200
2053,115620
4270,276477
243,15287
9596,669462
7973,551109
962,50677
9814,683200
8882,611764
5924,385161
6619,440312
2340,135561
3057,186087
242,9626
6380,414417
3982,251881
6039,405359
4280,289235
3228,195617
3836,236327
9545,664101
502,28975
7556,534358
2009,116698
3356,359970
3804,304928
3952,248053
8486,580419
7153,473886
2651,157787
4968,308613
9244,629564
3102,204971
9587,658216
1338,73328
3316,200723
2103,161214
7135,480618
5559,363426
4661,299343
1966,111476
2674,158137
