@relation ScaleImage

@attribute ImageWidth numeric
@attribute ImageHeight numeric
@attribute ScaleFactor numeric
@attribute runtime numeric

@data
682,455,2.209091,28914025
682,2944,1.418182,82589734
682,2588,2.604545,241438175
682,1166,1.813636,53630646
391,100,0.363636,128297
1555,989,1.681818,88166933
3300,278,0.231818,958144
2427,3655,0.890909,140733332
5045,3477,0.1,4257062
5918,1700,0.627273,73662287
1264,1877,0.890909,38703863
1845,2410,2.736364,655500896
2427,2055,2.340909,532331984
3591,1344,1.022727,95701414
4173,1522,1.418182,243905089
4755,1344,2.472727,766264776
1555,2944,1.55,210805196
2427,811,1.154545,52112972
2136,811,0.759091,22394562
3009,1877,2.340909,589505255
4464,2944,1.022727,271324683
2136,1166,2.340909,267215902
5336,3655,2.472727,2378350683
4173,1166,0.627273,34900164
1555,1344,2.472727,257307471
5045,2055,2.604545,1396719900
3591,3832,2.736364,2041045201
1845,2588,2.472727,573799286
100,1700,2.340909,19269523
1555,455,0.231818,892286
3882,2233,0.759091,96496591
3591,2233,2.077273,695202980
4464,3121,0.759091,163323660
3300,3655,1.286364,390831446
3300,989,0.495455,15543397
3591,1877,2.209091,670479078
5627,3477,2.077273,1684819223
391,3655,1.813636,92164257
391,3832,0.759091,15903689
3009,100,2.472727,38221639
4173,2944,0.231818,12849233
5918,278,1.681818,96096195
391,1522,1.022727,11099199
682,2055,0.495455,6289684
2718,2588,0.495455,36785299
973,2944,0.759091,30223318
973,3832,1.813636,246733176
3882,3655,1.154545,379315314
682,2233,1.945455,105474058
1555,1344,1.813636,129239002
2718,3655,2.868182,1611008766
2427,2055,0.1,1092173
3300,1166,1.022727,76910845
3300,2055,2.209091,651476466
3882,1344,1.813636,340466774
3591,455,1.55,70170279
5627,1166,2.868182,1058056096
3300,3832,0.495455,61070034
3882,2766,1.286364,357720414
100,100,2.340909,1018209
4464,633,0.231818,3090132
2136,2766,2.868182,935181157
1845,989,2.472727,213572044
682,2944,2.736364,286579104
3009,633,1.154545,50347013
3009,3832,1.945455,830275203
4173,811,0.890909,51153615
3009,1522,1.945455,338401633
5918,1877,1.945455,817928705
5045,3832,2.209091,1853525375
973,1344,2.209091,121272181
1264,3477,0.890909,72514164
100,1877,2.868182,29526456
2136,1700,1.55,171157829
2718,1877,0.363636,14455407
3300,1700,0.627273,41476342
5045,2055,2.209091,1022730624
391,455,1.681818,11531431
100,2766,0.627273,2145287
973,3477,0.627273,24470272
2136,278,2.604545,79823110
5045,1166,1.813636,384489242
3009,3655,1.022727,227552808
1845,2766,1.55,238441480
391,2410,1.813636,62604563
100,3832,0.759091,4275136
391,1166,0.890909,6478015
3009,2410,1.813636,465104428
2718,1344,2.340909,388180495
4464,3655,0.495455,79851057
4755,2055,1.945455,745427772
2718,3832,2.209091,1046914657
4755,3477,0.759091,185508370
2718,3299,1.813636,558171477
1555,3477,1.945455,392942111
1555,2410,1.286364,118553498
973,1700,0.363636,4804722
2427,2766,2.472727,805045994
2427,3477,2.604545,1122966893
3882,1344,1.945455,389763254
2136,2588,2.868182,908468995
3591,3121,2.868182,1820280116
1845,1344,0.1,576007
5336,1522,0.759091,89905684
1555,2588,0.890909,61098393
973,278,0.363636,686830
1845,278,1.286364,19758012
3591,3832,2.472727,1638172927
4755,3477,0.495455,131834254
4464,3299,2.736364,2147604937
1555,2766,0.231818,4295784
3300,3121,2.209091,996659799
3009,1344,0.890909,61367153
2136,455,1.286364,32749800
1264,1344,2.736364,247677629
5918,1877,0.627273,93868459
3300,989,2.736364,483619907
973,278,0.1,117719
3009,2233,0.495455,30768864
