ArraySize,Key,runtime
83228,53797,2016
91456,93987,528
32278,13608,1826
40823,17089,302
36392,80696,589
23101,69304,123
17089,88924,348
56329,99367,851
90823,38608,1137
97468,6329,2405
54747,25633,2136
58544,78165,1384
11392,30063,381
56646,84810,1403
2848,94937,1009
17405,10127,173
88924,42089,2879
63924,61392,852
65190,66456,1291
13924,70253,352
60443,25316,759
30696,89241,1150
5380,26266,179
56329,50316,189
17089,70570,129
90823,47785,947
13291,50633,349
43038,68354,454
53165,88608,610
7911,83861,119
3481,99684,173
26899,25633,771
85759,6962,4336
85443,22468,2467
44304,79747,978
12342,21835,503
14873,19304,550
58228,68987,2893
32595,98101,2009
96835,32278,606
31329,77532,121
33228,45886,1000
38608,6962,1863
52215,57911,1006
95570,27848,249
56962,75316,190
21203,12658,135
93038,20253,3300
4114,20253,314
60127,56013,5704
25316,28797,1750
10759,52532,1430
25316,80063,672
26266,9177,880
95570,93038,1238
10759,61392,164
76266,82595,444
31962,34494,375
